trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
1,25:53:00,25:53:00,10,1,0,0,0.0000
1,26:02:00,26:02:00,2,2,0,0,5.8930
1,26:12:00,26:12:00,39,3,0,0,16.4197
1,26:23:00,26:23:00,55,4,0,0,27.2917
1,26:36:00,26:36:00,9,5,0,0,40.2500
1,26:44:00,26:44:00,71,6,0,0,46.3129
1,26:54:00,26:54:00,28,7,0,0,53.5366
1,27:01:00,27:01:00,43298,8,0,0,57.3994
1,27:26:00,27:26:00,1,9,0,0,67.6538
2,06:39:00,06:39:00,10,1,0,0,0.0000
2,06:48:00,06:48:00,2,2,0,0,5.8930
2,06:59:00,06:59:00,39,3,0,0,16.4197
2,07:10:00,07:10:00,55,4,0,0,27.2917
2,07:23:00,07:23:00,9,5,0,0,40.2500
2,07:31:00,07:31:00,71,6,0,0,46.3129
2,07:41:00,07:41:00,28,7,0,0,53.5366
2,07:48:00,07:48:00,43298,8,0,0,57.3994
2,08:13:00,08:13:00,1,9,0,0,67.6538
3,07:47:00,07:47:00,10,1,0,0,0.0000
3,07:56:00,07:56:00,2,2,0,0,5.8930
3,08:07:00,08:07:00,39,3,0,0,16.4197
3,08:18:00,08:18:00,55,4,0,0,27.2917
3,08:31:00,08:31:00,9,5,0,0,40.2500
3,08:39:00,08:39:00,71,6,0,0,46.3129
3,08:49:00,08:49:00,28,7,0,0,53.5366
3,08:56:00,08:56:00,43298,8,0,0,57.3994
3,09:21:00,09:21:00,1,9,0,0,67.6538
4,08:53:00,08:53:00,10,1,0,0,0.0000
4,09:02:00,09:02:00,2,2,0,0,5.8930
4,09:13:00,09:13:00,39,3,0,0,16.4197
4,09:24:00,09:24:00,55,4,0,0,27.2917
4,09:37:00,09:37:00,9,5,0,0,40.2500
4,09:45:00,09:45:00,71,6,0,0,46.3129
4,09:55:00,09:55:00,28,7,0,0,53.5366
4,10:02:00,10:02:00,43298,8,0,0,57.3994
4,10:27:00,10:27:00,1,9,0,0,67.6538
5,10:55:00,10:55:00,10,1,0,0,0.0000
5,11:04:00,11:04:00,2,2,0,0,5.8930
5,11:15:00,11:15:00,39,3,0,0,16.4197
5,11:30:00,11:30:00,55,4,0,0,27.2917
5,11:43:00,11:43:00,9,5,0,0,40.2500
5,11:50:00,11:50:00,71,6,0,0,46.3129
5,12:01:00,12:01:00,28,7,0,0,53.5366
5,12:08:00,12:08:00,43298,8,0,0,57.3994
5,12:33:00,12:33:00,1,9,0,0,67.6538
6,12:31:00,12:31:00,10,1,0,0,0.0000
6,12:40:00,12:40:00,2,2,0,0,5.8930
6,12:50:00,12:50:00,39,3,0,0,16.4197
6,13:01:00,13:01:00,55,4,0,0,27.2917
6,13:14:00,13:14:00,9,5,0,0,40.2500
6,13:22:00,13:22:00,71,6,0,0,46.3129
6,13:32:00,13:32:00,28,7,0,0,53.5366
6,13:39:00,13:39:00,43298,8,0,0,57.3994
6,14:04:00,14:04:00,1,9,0,0,67.6538
7,14:44:00,14:44:00,10,1,0,0,0.0000
7,14:53:00,14:53:00,2,2,0,0,5.8930
7,15:04:00,15:04:00,39,3,0,0,16.4197
7,15:15:00,15:15:00,55,4,0,0,27.2917
7,15:32:00,15:32:00,9,5,0,0,40.2500
7,15:40:00,15:40:00,71,6,0,0,46.3129
7,15:50:00,15:50:00,28,7,0,0,53.5366
7,15:57:00,15:57:00,43298,8,0,0,57.3994
7,16:22:00,16:22:00,1,9,0,0,67.6538
8,15:40:00,15:40:00,10,1,0,0,0.0000
8,15:49:00,15:49:00,2,2,0,0,5.8930
8,16:00:00,16:00:00,39,3,0,0,16.4197
8,16:11:00,16:11:00,55,4,0,0,27.2917
8,16:24:00,16:24:00,9,5,0,0,40.2500
8,16:31:00,16:31:00,71,6,0,0,46.3129
8,16:42:00,16:42:00,28,7,0,0,53.5366
8,16:49:00,16:49:00,43298,8,0,0,57.3994
8,17:14:00,17:14:00,1,9,0,0,67.6538
9,16:38:00,16:38:00,10,1,0,0,0.0000
9,16:47:00,16:47:00,2,2,0,0,5.8930
9,16:58:00,16:58:00,39,3,0,0,16.4197
9,17:09:00,17:09:00,55,4,0,0,27.2917
9,17:22:00,17:22:00,9,5,0,0,40.2500
9,17:30:00,17:30:00,71,6,0,0,46.3129
9,17:40:00,17:40:00,28,7,0,0,53.5366
9,17:47:00,17:47:00,43298,8,0,0,57.3994
9,18:12:00,18:12:00,1,9,0,0,67.6538
10,17:48:00,17:48:00,10,1,0,0,0.0000
10,17:57:00,17:57:00,2,2,0,0,5.8930
10,18:08:00,18:08:00,39,3,0,0,16.4197
10,18:19:00,18:19:00,55,4,0,0,27.2917
10,18:36:00,18:36:00,9,5,0,0,40.2500
10,18:43:00,18:43:00,71,6,0,0,46.3129
10,18:54:00,18:54:00,28,7,0,0,53.5366
10,19:01:00,19:01:00,43298,8,0,0,57.3994
10,19:26:00,19:26:00,1,9,0,0,67.6538
11,19:44:00,19:44:00,10,1,0,0,0.0000
11,19:53:00,19:53:00,2,2,0,0,5.8930
11,20:04:00,20:04:00,39,3,0,0,16.4197
11,20:15:00,20:15:00,55,4,0,0,27.2917
11,20:32:00,20:32:00,9,5,0,0,40.2500
11,20:43:00,20:43:00,71,6,0,0,46.3129
11,20:53:00,20:53:00,28,7,0,0,53.5366
11,21:00:00,21:00:00,43298,8,0,0,57.3994
11,21:25:00,21:25:00,1,9,0,0,67.6538
12,21:48:00,21:48:00,10,1,0,0,0.0000
12,21:57:00,21:57:00,2,2,0,0,5.8930
12,22:08:00,22:08:00,39,3,0,0,16.4197
12,22:19:00,22:19:00,55,4,0,0,27.2917
12,22:32:00,22:32:00,9,5,0,0,40.2500
12,22:39:00,22:39:00,71,6,0,0,46.3129
12,22:50:00,22:50:00,28,7,0,0,53.5366
12,22:57:00,22:57:00,43298,8,0,0,57.3994
12,23:22:00,23:22:00,1,9,0,0,67.6538
13,24:43:00,24:43:00,10,1,0,0,0.0000
13,24:52:00,24:52:00,2,2,0,0,5.8930
13,25:02:00,25:02:00,39,3,0,0,16.4197
13,25:13:00,25:13:00,55,4,0,0,27.2917
13,25:26:00,25:26:00,9,5,0,0,40.2500
13,25:34:00,25:34:00,71,6,0,0,46.3129
13,25:45:00,25:45:00,28,7,0,0,53.5366
13,25:52:00,25:52:00,43298,8,0,0,57.3994
13,26:21:00,26:21:00,1,9,0,0,67.6538
14,04:33:00,04:33:00,10,1,0,0,0.0000
14,04:42:00,04:42:00,2,2,0,0,5.8930
14,04:52:00,04:52:00,39,3,0,0,16.4197
14,05:02:00,05:02:00,55,4,0,0,27.2917
14,05:15:00,05:15:00,9,5,0,0,40.2500
14,05:22:00,05:22:00,71,6,0,0,46.3129
14,05:32:00,05:32:00,28,7,0,0,53.5366
14,05:39:00,05:39:00,43298,8,0,0,57.3994
14,06:04:00,06:04:00,1,9,0,0,67.6538
15,06:40:00,06:40:00,10,1,0,0,0.0000
15,06:49:00,06:49:00,2,2,0,0,5.8930
15,07:00:00,07:00:00,39,3,0,0,16.4197
15,07:11:00,07:11:00,55,4,0,0,27.2917
15,07:28:00,07:28:00,9,5,0,0,40.2500
15,07:36:00,07:36:00,71,6,0,0,46.3129
15,07:46:00,07:46:00,28,7,0,0,53.5366
15,07:53:00,07:53:00,43298,8,0,0,57.3994
15,08:18:00,08:18:00,1,9,0,0,67.6538
16,08:53:00,08:53:00,10,1,0,0,0.0000
16,09:02:00,09:02:00,2,2,0,0,5.8930
16,09:13:00,09:13:00,39,3,0,0,16.4197
